,key
0,正
1,文
2, 
3,ပ
4,်
5,ာ
6,း
7,ရ
8,ည
9,္
10,အ
11,ု
12,ိ
13,င
15, 
16,ဇ
18,တ
20,လ
21,မ
26,ဲ
27,ြ
29,ွ
31,စ
33,ဆ
36,့
41,သ
51,၏
56,ေ
60,ႈ
66,ခ
75,႐
89,ီ
90,က
109,C
110,a
111,n
113,l
114,+
121,ံ
133,ထ
138,ႊ
142,ျ
146,န
178,၌
196,ဖ
203,ါ
204,၀
220,ၾ
234,။
239,"
"
241,	
242,‘
246,ဒ
273,ဘ
274,ူ
310,႔
356,ယ
469,ႀ
472,ဳ
508,’
510,ဟ
546,ႏ
558,Z
559,o
560,m
561,b
562,i
563,e
756,ဥ
778,ၿ
879,၊
881,ဉ
883,ဏ
1458,ဝ
1694,၍
1696,၎
1837,ဓ
1866,႕
1995,၁
1996,၅
2500,H
2502,r
2528,d
2530,u
2629,O
2630,v
2634,A
2635,c
2636,t
2913,၂
2916,၉
3042,ၻ
3067,ဂ
3160,ၥ
3203,T
3204,h
3207,S
3217,ဌ
3246,(
3248,၈
3249,)
3258,ၤ
3518,ၽ
4109,ၢ
4170,ၚ
4181,ၱ
5345,g
5451,ဗ
5561,M
5563,s
5567,V
5793,R
5966,F
6036,L
6304,I
6380,ဴ
6904,ၪ
6905,ၨ
7373,ၲ
7820,ၶ
8567,ႂ
8796,၇
8943,၆
9193,E
10416,ႁ
10418,ၵ
10831,ဦ
11296,ၼ
11352,ႇ
11950,y
12054,","
12059,-
12068,p
12951,ၫ
13075,ၸ
13078,႑
13093,ၳ
13412,ႆ
13802,k
13818,B
13828,W
13832,'
13922,.
14267,၃
14305,၄
17354,U
18487,2
19528,G
19647,w
21104,P
22044,X
22442,K
22473,f
22680,:
24201,ဧ
27251,−
27353,5
27889,Y
28573,N
34750,ၡ
35006,J
35061,1
35062,8
36037,4
39032,D
43646,ႌ
47792,ဠ
51145,z
55148,7
56546,x
59560,ၺ
64304,ဈ
65029,ဃ
66182,ၠ
66183,႒
66837,ဩ
71941,ၧ
75101,9
87104,ဋ
90372,3
112360,&
118233,ၰ
119802,?
120129,/
120133,6
123056,q
123352,ၭ
131687,​
134234,ႋ
146924,j
154816,0
159322,ၴ
161108,!
251321,—
372271,ဪ
505347,ဤ
519316,Q
526697,ၦ
559745,""""
625824,×
625826,=
628572,ၹ
925336,ဣ
1023577,ႅ
1310108,ၩ
1336076,ၷ
1467990,;
1554022,_
1704701,%
1971537,*
2067758,#
2547544,႓
2837213,‌
2863361,“
2863496,”
2970041,ႃ
2974397,ႎ
3293854,–
3341581,ႍ
3630345,@
3675140,­
3737316,…
3918426,\
5502553,è
5611274,>
8323354,႗
8671404,»
9060271,[
9060304,]
10688733,Ρ
10688734,ε
10688735,φ
10688737,σ
10688738,ο
10688740,μ
10688741,π
10688742,ι
10689649,Π
10689650,Ε
10689651,Ο
10689653,Λ
10690962,Μ
10690968,α
10690969,ν
10690971,δ
10690973,λ
10690975,ψ
10690977,Θ
10690978,υ
11570014,ဍ
12172110,$
12174774,ၣ
15073560,`
16372936,♦
17056173,°
22209373,{
22209420,}
26894055,~
27449692,<
27702529,à
28379986,►
30452048,τ
30452049,ρ
30452051,γ
30452509,Α
30452513,Φ
30452516,χ
30865292,ႉ
33157952,ဎ
38935592,
40291614,ã
42820205,
42820643,
42820650,
42822091,
43417026,
57613768, 
74851314,�
84736992,Σ
84962328,Ι
84962330,Τ
84962699,Χ
84962851,Β
84962856,Η
85058215,∀
105882923,•
106153315,©
108460610,|
110991005,‑
111139079,Δ
112685706,£
116970071,µ
123084947,ī
128462258,ē
134318779,≥
136059490,·
137681300,∗
138305764,
138565598,÷
150058321,Â
150058358,â
150508729,¹
161922742,■
165291992,Ô
175140700,√
188258700,Ν
194791166,^
195625749,
201778427,ႄ
205577012,∇
205577023,Γ
222568384,é
229477734,ö
233217853,😍
233217854,🤪
233521562,💰
233521563,💸
233521564,💵
233900791,ó
233966830,❤
233966831,️
234645107,﻿
234808503,💙
235539930,Á
235934469,í
236164973,ป
236164974,ว
236164975,ร
236164976,ณ
236164977,า
236164979,เ
236164980,ก
236164981,ต
236164982,ุ
236164985,น
236543049,á
236801594,‎
237114258,″
237289452,บ
237289454,ะ
237289459,ล
237289462,ช
237289463,ี
237289464,ย
237289465,ง
237289466,ใ
237289467,ห
237289468,ม
237289469,่
237449829,º
239521468,ှ
239528470,ဿ
240849484,´
241108165,ø
241594691,ၬ
242186302,š
245057378,ส
245057379,ั
245057382,์
245057383,โ
245214579,อ
245214582,ซ
245234290,ค
245234303,้
245301590, 
245919910,ñ
246539188,̔
246991265,ท
247052904,💋
247805298,💪
247805299,🏼
248808350,É
256793853,‪
261474824,‬
262156115,̕
262162774,↔
262255526,̏
262255734,˝
262401189,႘
262680363,ü
262945928,พ
262945936,ด
264778802,ၐ
